方向,板块排名,板块代码,板块名称,板块涨跌幅,板块主力净流入,排序口径,股票排名,股票代码,股票名称,现价,涨跌幅,成交额
净流入,10,BK0735,计算机设备,1.61%,+6.69亿,成交额,2,603019,中科曙光,99.47元,+2.80%,48.49亿
净流入,10,BK0735,计算机设备,1.61%,+6.69亿,成交额,3,301666,大普微-UW,544.93元,+5.81%,19.34亿
净流入,10,BK0735,计算机设备,1.61%,+6.69亿,涨幅,1,603496,恒为科技,25.08元,+10.00%,3.34亿
净流入,10,BK0735,计算机设备,1.61%,+6.69亿,涨幅,2,301589,诺瓦星云,146.08元,+7.66%,0.92亿
净流入,10,BK0735,计算机设备,1.61%,+6.69亿,涨幅,3,688619,罗普特,14.19元,+7.26%,0.42亿
净流入,10,BK0735,计算机设备,1.61%,+6.69亿,涨幅,4,920090,*ST同辉,3.61元,+7.12%,0.17亿
净流入,10,BK0735,计算机设备,1.61%,+6.69亿,涨幅,5,688208,道通科技,26.36元,+6.42%,3.37亿
净流入,11,BK1446,其他计算机设备,1.92%,+6.56亿,成交额,1,000977,浪潮信息,86.38元,+1.98%,74.38亿
净流入,11,BK1446,其他计算机设备,1.92%,+6.56亿,成交额,2,603019,中科曙光,99.49元,+2.82%,48.50亿
净流入,11,BK1446,其他计算机设备,1.92%,+6.56亿,成交额,3,301666,大普微-UW,544.94元,+5.81%,19.35亿
净流入,11,BK1446,其他计算机设备,1.92%,+6.56亿,涨幅,1,603496,恒为科技,25.08元,+10.00%,3.34亿
净流入,11,BK1446,其他计算机设备,1.92%,+6.56亿,涨幅,2,301589,诺瓦星云,146.08元,+7.66%,0.92亿
净流入,11,BK1446,其他计算机设备,1.92%,+6.56亿,涨幅,3,920090,*ST同辉,3.61元,+7.12%,0.17亿
净流入,11,BK1446,其他计算机设备,1.92%,+6.56亿,涨幅,4,688208,道通科技,26.36元,+6.42%,3.37亿
净流入,11,BK1446,其他计算机设备,1.92%,+6.56亿,涨幅,5,301666,大普微-UW,544.94元,+5.81%,19.35亿
净流入,12,BK1615,铜,2.08%,+5.55亿,成交额,1,601899,紫金矿业,29.50元,+2.32%,38.56亿
净流入,12,BK1615,铜,2.08%,+5.55亿,成交额,2,603993,洛阳钼业,18.33元,+2.35%,25.70亿
净流入,12,BK1615,铜,2.08%,+5.55亿,成交额,3,601168,西部矿业,34.40元,+3.68%,11.54亿
净流入,12,BK1615,铜,2.08%,+5.55亿,涨幅,1,600490,鹏欣资源,6.26元,+6.46%,1.80亿
净流入,12,BK1615,铜,2.08%,+5.55亿,涨幅,2,603979,金诚信,68.07元,+5.50%,4.31亿
净流入,12,BK1615,铜,2.08%,+5.55亿,涨幅,3,601168,西部矿业,34.40元,+3.68%,11.54亿
净流入,12,BK1615,铜,2.08%,+5.55亿,涨幅,4,601212,白银有色,4.82元,+2.77%,2.89亿
净流入,12,BK1615,铜,2.08%,+5.55亿,涨幅,5,002295,精艺股份,8.48元,+2.42%,0.12亿
净流入,13,BK0481,汽车零部件,1.13%,+5.45亿,成交额,1,002536,飞龙股份,55.37元,-0.95%,14.16亿
净流入,13,BK0481,汽车零部件,1.13%,+5.45亿,成交额,2,002472,双环传动,42.40元,+0.02%,10.88亿
净流入,13,BK0481,汽车零部件,1.13%,+5.45亿,成交额,3,601689,拓普集团,55.01元,+0.94%,8.60亿
净流入,13,BK0481,汽车零部件,1.13%,+5.45亿,涨幅,1,603950,长源东谷,69.44元,+10.00%,5.10亿
净流入,13,BK0481,汽车零部件,1.13%,+5.45亿,涨幅,2,001365,天海电子,43.25元,+9.99%,4.13亿
净流入,13,BK0481,汽车零部件,1.13%,+5.45亿,涨幅,3,603178,圣龙股份,15.74元,+9.99%,1.89亿
净流入,13,BK0481,汽车零部件,1.13%,+5.45亿,涨幅,4,603949,雪龙集团,14.71元,+6.90%,2.38亿
净流入,13,BK0481,汽车零部件,1.13%,+5.45亿,涨幅,5,301221,光庭信息,28.15元,+4.88%,0.33亿
净流入,14,BK1220,广告营销,3.32%,+5.00亿,成交额,1,300058,蓝色光标,13.33元,+5.13%,26.59亿
净流入,14,BK1220,广告营销,3.32%,+5.00亿,成交额,2,002354,天娱数科,7.99元,+3.90%,16.70亿
净流入,14,BK1220,广告营销,3.32%,+5.00亿,成交额,3,301171,易点天下,29.72元,+3.48%,6.54亿
净流入,14,BK1220,广告营销,3.32%,+5.00亿,涨幅,1,000676,智度股份,6.22元,+10.09%,4.61亿
净流入,14,BK1220,广告营销,3.32%,+5.00亿,涨幅,2,300805,电声股份,8.67元,+17.80%,2.84亿
净流入,14,BK1220,广告营销,3.32%,+5.00亿,涨幅,3,300058,蓝色光标,13.32元,+5.05%,26.60亿
净流入,14,BK1220,广告营销,3.32%,+5.00亿,涨幅,4,300071,福石控股,4.66元,+4.48%,6.08亿
净流入,14,BK1220,广告营销,3.32%,+5.00亿,涨幅,5,301102,兆讯传媒,9.48元,+4.41%,0.18亿
净流入,15,BK1293,营销代理,3.35%,+4.90亿,成交额,1,300058,蓝色光标,13.32元,+5.05%,26.60亿
净流入,15,BK1293,营销代理,3.35%,+4.90亿,成交额,2,002354,天娱数科,7.99元,+3.90%,16.70亿
净流入,15,BK1293,营销代理,3.35%,+4.90亿,成交额,3,301171,易点天下,29.74元,+3.55%,6.54亿
净流入,15,BK1293,营销代理,3.35%,+4.90亿,涨幅,1,000676,智度股份,6.22元,+10.09%,4.61亿
净流入,15,BK1293,营销代理,3.35%,+4.90亿,涨幅,2,300805,电声股份,8.67元,+17.80%,2.84亿
净流入,15,BK1293,营销代理,3.35%,+4.90亿,涨幅,3,300058,蓝色光标,13.35元,+5.28%,26.60亿
净流入,15,BK1293,营销代理,3.35%,+4.90亿,涨幅,4,300071,福石控股,4.66元,+4.48%,6.08亿
净流入,15,BK1293,营销代理,3.35%,+4.90亿,涨幅,5,002354,天娱数科,8.00元,+4.03%,16.70亿
净流入,16,BK1329,集成电路制造,-0.10%,+4.80亿,成交额,1,688981,中芯国际,157.11元,+2.26%,76.40亿
净流入,16,BK1329,集成电路制造,-0.10%,+4.80亿,成交额,2,688347,华虹宏力,340.34元,+2.69%,46.98亿
净流入,16,BK1329,集成电路制造,-0.10%,+4.80亿,成交额,3,688820,盛合晶微,168.36元,-0.96%,14.29亿
净流入,16,BK1329,集成电路制造,-0.10%,+4.80亿,涨幅,1,688347,华虹宏力,340.34元,+2.69%,46.98亿
净流入,16,BK1329,集成电路制造,-0.10%,+4.80亿,涨幅,2,688981,中芯国际,157.14元,+2.28%,76.41亿
净流入,16,BK1329,集成电路制造,-0.10%,+4.80亿,涨幅,3,688249,晶合集成,50.68元,+0.68%,8.64亿
净流入,16,BK1329,集成电路制造,-0.10%,+4.80亿,涨幅,4,300456,赛微电子,34.13元,+0.00%,4.53亿
净流入,16,BK1329,集成电路制造,-0.10%,+4.80亿,涨幅,5,688691,灿芯股份,96.41元,-0.08%,3.23亿
净流入,17,BK1593,通信终端及配件,0.98%,+3.72亿,成交额,1,603083,剑桥科技,205.78元,-1.11%,22.27亿
净流入,17,BK1593,通信终端及配件,0.98%,+3.72亿,成交额,2,300638,广和通,20.66元,+13.64%,8.38亿
净流入,17,BK1593,通信终端及配件,0.98%,+3.72亿,成交额,3,603236,移远通信,53.76元,+5.97%,5.65亿
净流入,17,BK1593,通信终端及配件,0.98%,+3.72亿,涨幅,1,002881,美格智能,39.05元,+10.00%,3.82亿
净流入,17,BK1593,通信终端及配件,0.98%,+3.72亿,涨幅,2,300638,广和通,20.66元,+13.64%,8.38亿
净流入,17,BK1593,通信终端及配件,0.98%,+3.72亿,涨幅,3,920249,利尔达,9.45元,+6.30%,0.68亿
净流入,17,BK1593,通信终端及配件,0.98%,+3.72亿,涨幅,4,603236,移远通信,53.77元,+5.99%,5.65亿
净流入,17,BK1593,通信终端及配件,0.98%,+3.72亿,涨幅,5,003040,楚天龙,10.40元,+2.87%,0.54亿
净流入,18,BK1202,房地产,1.11%,+3.49亿,成交额,1,600246,万通发展,19.78元,+10.01%,10.32亿
净流入,18,BK1202,房地产,1.11%,+3.49亿,成交额,2,002208,合肥城建,15.35元,-9.23%,8.42亿
净流入,18,BK1202,房地产,1.11%,+3.49亿,成交额,3,000620,盈新发展,3.15元,+0.32%,6.43亿
净流入,18,BK1202,房地产,1.11%,+3.49亿,涨幅,1,600246,万通发展,19.78元,+10.01%,10.32亿
净流入,18,BK1202,房地产,1.11%,+3.49亿,涨幅,2,600463,空港股份,8.33元,+6.25%,0.36亿
净流入,18,BK1202,房地产,1.11%,+3.49亿,涨幅,3,000608,阳光股份,7.02元,+4.93%,1.97亿
净流入,18,BK1202,房地产,1.11%,+3.49亿,涨幅,4,600716,凤凰股份,3.54元,+4.12%,0.18亿
净流入,18,BK1202,房地产,1.11%,+3.49亿,涨幅,5,600604,市北高新,4.37元,+4.05%,0.91亿
净流入,19,BK0451,房地产开发,1.17%,+3.47亿,成交额,1,600246,万通发展,19.78元,+10.01%,10.32亿
净流入,19,BK0451,房地产开发,1.17%,+3.47亿,成交额,2,002208,合肥城建,15.33元,-9.34%,8.42亿
净流入,19,BK0451,房地产开发,1.17%,+3.47亿,成交额,3,000620,盈新发展,3.16元,+0.64%,6.43亿
净流入,19,BK0451,房地产开发,1.17%,+3.47亿,涨幅,1,600246,万通发展,19.78元,+10.01%,10.32亿
净流入,19,BK0451,房地产开发,1.17%,+3.47亿,涨幅,2,600463,空港股份,8.33元,+6.25%,0.36亿
净流入,19,BK0451,房地产开发,1.17%,+3.47亿,涨幅,3,000608,阳光股份,7.02元,+4.93%,1.97亿
净流入,19,BK0451,房地产开发,1.17%,+3.47亿,涨幅,4,600716,凤凰股份,3.54元,+4.12%,0.18亿
净流入,19,BK0451,房地产开发,1.17%,+3.47亿,涨幅,5,600604,市北高新,4.37元,+4.05%,0.91亿
净流入,20,BK0545,通用设备,0.10%,+3.41亿,成交额,1,300567,精测电子,278.62元,-6.22%,28.12亿
净流入,20,BK0545,通用设备,0.10%,+3.41亿,成交额,2,688627,精智达,596.95元,-0.34%,15.60亿
净流入,20,BK0545,通用设备,0.10%,+3.41亿,成交额,3,688333,铂力特,114.00元,-1.89%,12.34亿
净流入,20,BK0545,通用设备,0.10%,+3.41亿,涨幅,1,002760,凤形股份,17.97元,+9.98%,1.05亿
净流入,20,BK0545,通用设备,0.10%,+3.41亿,涨幅,2,920117,N龙鑫,38.00元,+113.12%,4.75亿
净流入,20,BK0545,通用设备,0.10%,+3.41亿,涨幅,3,301448,开创电气,43.31元,+8.30%,0.95亿
净流入,20,BK0545,通用设备,0.10%,+3.41亿,涨幅,4,300112,万讯自控,6.69元,+7.38%,1.18亿
净流入,20,BK0545,通用设备,0.10%,+3.41亿,涨幅,5,920510,丰光精密,30.32元,+7.14%,2.74亿
净流入,21,BK1222,影视院线,3.84%,+3.19亿,成交额,1,300251,光线传媒,13.15元,+6.13%,13.76亿
净流入,21,BK1222,影视院线,3.84%,+3.19亿,成交额,2,002739,儒意电影,10.32元,+10.02%,7.98亿
净流入,21,BK1222,影视院线,3.84%,+3.19亿,成交额,3,300528,幸福蓝海,16.97元,-0.12%,4.71亿
净流入,21,BK1222,影视院线,3.84%,+3.19亿,涨幅,1,002739,儒意电影,10.32元,+10.02%,7.98亿
净流入,21,BK1222,影视院线,3.84%,+3.19亿,涨幅,2,000892,欢瑞世纪,3.87元,+9.94%,2.68亿
净流入,21,BK1222,影视院线,3.84%,+3.19亿,涨幅,3,601595,上海电影,17.64元,+6.84%,1.73亿
净流入,21,BK1222,影视院线,3.84%,+3.19亿,涨幅,4,300251,光线传媒,13.15元,+6.13%,13.76亿
净流入,21,BK1222,影视院线,3.84%,+3.19亿,涨幅,5,000802,北京文化,3.87元,+4.59%,0.88亿
净流入,22,BK0436,纺织服饰,1.25%,+3.19亿,成交额,1,002083,孚日股份,10.65元,+10.02%,4.68亿
净流入,22,BK0436,纺织服饰,1.25%,+3.19亿,成交额,2,605189,富春染织,15.96元,+2.05%,4.16亿
净流入,22,BK0436,纺织服饰,1.25%,+3.19亿,成交额,3,002674,兴业科技,26.28元,-8.46%,4.09亿
净流入,22,BK0436,纺织服饰,1.25%,+3.19亿,涨幅,1,002083,孚日股份,10.65元,+10.02%,4.69亿
净流入,22,BK0436,纺织服饰,1.25%,+3.19亿,涨幅,2,300591,万里马,7.37元,+20.03%,2.83亿
净流入,22,BK0436,纺织服饰,1.25%,+3.19亿,涨幅,3,301177,迪阿股份,22.36元,+4.29%,0.28亿
净流入,22,BK0436,纺织服饰,1.25%,+3.19亿,涨幅,4,300840,酷特智能,19.01元,+4.11%,0.98亿
净流入,22,BK0436,纺织服饰,1.25%,+3.19亿,涨幅,5,301066,万事利,11.95元,+3.91%,0.25亿
净流入,23,BK1221,数字媒体,2.00%,+3.10亿,成交额,1,300418,昆仑万维,49.08元,+6.44%,29.68亿
净流入,23,BK1221,数字媒体,2.00%,+3.10亿,成交额,2,300364,中文在线,23.53元,+2.89%,5.04亿
净流入,23,BK1221,数字媒体,2.00%,+3.10亿,成交额,3,603466,风语筑,12.07元,+1.09%,4.37亿
净流入,23,BK1221,数字媒体,2.00%,+3.10亿,涨幅,1,300418,昆仑万维,49.08元,+6.44%,29.68亿
净流入,23,BK1221,数字媒体,2.00%,+3.10亿,涨幅,2,603533,掌阅科技,19.31元,+3.76%,2.14亿
净流入,23,BK1221,数字媒体,2.00%,+3.10亿,涨幅,3,300987,川网传媒,13.06元,+3.49%,0.34亿
净流入,23,BK1221,数字媒体,2.00%,+3.10亿,涨幅,4,300785,值得买,36.01元,+3.48%,1.81亿
净流入,23,BK1221,数字媒体,2.00%,+3.10亿,涨幅,5,002095,生 意 宝,13.63元,+2.95%,0.28亿
净流入,24,BK1526,底盘与发动机系统,1.13%,+2.90亿,成交额,1,002536,飞龙股份,55.34元,-1.00%,14.18亿
净流入,24,BK1526,底盘与发动机系统,1.13%,+2.90亿,成交额,2,002472,双环传动,42.38元,-0.02%,10.90亿
净流入,24,BK1526,底盘与发动机系统,1.13%,+2.90亿,成交额,3,601689,拓普集团,55.02元,+0.95%,8.62亿
净流入,24,BK1526,底盘与发动机系统,1.13%,+2.90亿,涨幅,1,603950,长源东谷,69.44元,+10.00%,5.10亿
净流入,24,BK1526,底盘与发动机系统,1.13%,+2.90亿,涨幅,2,603178,圣龙股份,15.74元,+9.99%,1.89亿
净流入,24,BK1526,底盘与发动机系统,1.13%,+2.90亿,涨幅,3,603949,雪龙集团,14.72元,+6.98%,2.39亿
净流入,24,BK1526,底盘与发动机系统,1.13%,+2.90亿,涨幅,4,002708,光洋股份,10.94元,+4.19%,1.65亿
净流入,24,BK1526,底盘与发动机系统,1.13%,+2.90亿,涨幅,5,300733,西菱动力,12.25元,+3.90%,0.74亿
净流入,25,BK1346,住宅开发,1.10%,+2.64亿,成交额,1,600246,万通发展,19.78元,+10.01%,10.32亿
净流入,25,BK1346,住宅开发,1.10%,+2.64亿,成交额,2,002208,合肥城建,15.32元,-9.40%,8.42亿
净流入,25,BK1346,住宅开发,1.10%,+2.64亿,成交额,3,000620,盈新发展,3.16元,+0.64%,6.43亿
净流入,25,BK1346,住宅开发,1.10%,+2.64亿,涨幅,1,600246,万通发展,19.78元,+10.01%,10.32亿
净流入,25,BK1346,住宅开发,1.10%,+2.64亿,涨幅,2,600716,凤凰股份,3.54元,+4.12%,0.18亿
净流入,25,BK1346,住宅开发,1.10%,+2.64亿,涨幅,3,000014,沙河股份,9.44元,+3.85%,0.54亿
净流入,25,BK1346,住宅开发,1.10%,+2.64亿,涨幅,4,600376,首开股份,3.42元,+3.64%,1.55亿
净流入,25,BK1346,住宅开发,1.10%,+2.64亿,涨幅,5,600638,新黄浦,4.70元,+3.07%,0.37亿
净流入,26,BK1287,工业金属,0.74%,+2.46亿,成交额,1,601899,紫金矿业,29.48元,+2.25%,38.85亿
净流入,26,BK1287,工业金属,0.74%,+2.46亿,成交额,2,603993,洛阳钼业,18.35元,+2.46%,25.76亿
净流入,26,BK1287,工业金属,0.74%,+2.46亿,成交额,3,000807,云铝股份,25.83元,-1.03%,16.46亿
净流入,26,BK1287,工业金属,0.74%,+2.46亿,涨幅,1,600490,鹏欣资源,6.25元,+6.29%,1.81亿
净流入,26,BK1287,工业金属,0.74%,+2.46亿,涨幅,2,603979,金诚信,68.05元,+5.47%,4.37亿
净流入,26,BK1287,工业金属,0.74%,+2.46亿,涨幅,3,601020,华钰矿业,19.72元,+4.78%,2.81亿
净流入,26,BK1287,工业金属,0.74%,+2.46亿,涨幅,4,601168,西部矿业,34.35元,+3.53%,11.59亿
净流入,26,BK1287,工业金属,0.74%,+2.46亿,涨幅,5,601212,白银有色,4.82元,+2.77%,2.90亿
净流入,27,BK1398,其他通用设备,0.41%,+2.27亿,成交额,1,688333,铂力特,113.79元,-2.07%,12.35亿
净流入,27,BK1398,其他通用设备,0.41%,+2.27亿,成交额,2,603757,大元泵业,79.52元,+3.27%,8.11亿
净流入,27,BK1398,其他通用设备,0.41%,+2.27亿,成交额,3,300503,昊志机电,82.47元,-1.68%,7.28亿
净流入,27,BK1398,其他通用设备,0.41%,+2.27亿,涨幅,1,920117,N龙鑫,38.01元,+113.18%,4.75亿
净流入,27,BK1398,其他通用设备,0.41%,+2.27亿,涨幅,2,301448,开创电气,43.31元,+8.30%,0.95亿
净流入,27,BK1398,其他通用设备,0.41%,+2.27亿,涨幅,3,688448,磁谷科技,55.61元,+3.98%,1.23亿
净流入,27,BK1398,其他通用设备,0.41%,+2.27亿,涨幅,4,603757,大元泵业,79.52元,+3.27%,8.11亿
净流入,27,BK1398,其他通用设备,0.41%,+2.27亿,涨幅,5,603109,神驰机电,17.10元,+3.26%,0.22亿
净流入,28,BK1294,门户网站,2.10%,+2.17亿,成交额,1,300418,昆仑万维,48.94元,+6.14%,29.72亿
净流入,28,BK1294,门户网站,2.10%,+2.17亿,成交额,2,300785,值得买,35.94元,+3.28%,1.81亿
净流入,28,BK1294,门户网站,2.10%,+2.17亿,成交额,3,603000,人民网,16.03元,+1.33%,1.40亿
净流入,28,BK1294,门户网站,2.10%,+2.17亿,涨幅,1,300418,昆仑万维,48.94元,+6.14%,29.72亿
净流入,28,BK1294,门户网站,2.10%,+2.17亿,涨幅,2,300987,川网传媒,13.06元,+3.49%,0.34亿
净流入,28,BK1294,门户网站,2.10%,+2.17亿,涨幅,3,300785,值得买,35.94元,+3.28%,1.81亿
净流入,28,BK1294,门户网站,2.10%,+2.17亿,涨幅,4,002095,生 意 宝,13.62元,+2.87%,0.28亿
净流入,28,BK1294,门户网站,2.10%,+2.17亿,涨幅,5,301299,卓创资讯,43.14元,+1.91%,0.15亿
